estado;cidade;populacao;pib;pib_percapita
MINAS GERAIS;NOVA LIMA;76608;2120726.75;27682.83984375
PARÁ;TOMÉ-AÇU;48607;226379.46875;4657.33984375
BAHIA;GOVERNADOR MANGABEIRA;20668;92903.8203125;4495.06005859
PIAUÍ;AROEIRAS DO ITAIM;2759;8614.79785156;3122.42993164
GOIÁS;PEROLÂNDIA;2830;145665.390625;51471.87109375
PARAÍBA;POCINHOS;16538;68767.046875;4158.12011719
BAHIA;IBITITÁ;19410;62366.88671875;3213.12988281
TOCANTINS;ALIANÇA DO TOCANTINS;5822;44565.703125;7654.70996094
MINAS GERAIS;IGARAPÉ;33773;277495.78125;8216.5
TOCANTINS;LAGOA DA CONFUSÃO;8711;263527.4375;30252.25976562
PARAÍBA;PUXINANÃ;13354;59902.4921875;4485.72998047
SÃO PAULO;GUARUJÁ;308058;3429098.5;11131.33984375
RIO GRANDE DO SUL;ENGENHO VELHO;1467;24098.88671875;16427.33007812
PARANÁ;RIO BOM;3292;29087.8984375;8835.9296875
BAHIA;SÁTIRO DIAS;18919;75908.4609375;4012.29003906
SANTA CATARINA;JOSÉ BOITEUX;5054;50867.8984375;10064.87988281
PARÁ;CACHOEIRA DO ARARI;20411;62800.12890625;3076.7800293
BAHIA;IRAJUBA;7666;29224.98828125;3812.29003906
PERNAMBUCO;PALMARES;58819;387086.59375;6580.97998047
SERGIPE;BREJO GRANDE;8086;39924.37890625;4937.47021484
PARANÁ;ALTAMIRA DO PARANÁ;3799;37563.4296875;9887.71972656
MATO GROSSO;NOVA SANTA HELENA;3473;49004.0;14109.99023438
PARAÍBA;SÃO SEBASTIÃO DO UMBUZEIRO;3170;15186.453125;4790.68017578
MATO GROSSO;NOVA GUARITA;4907;45700.81640625;9313.38964844
MARANHÃO;SERRANO DO MARANHÃO;11085;40995.56640625;3698.29003906
SÃO PAULO;PEDRINHAS PAULISTA;2927;75881.6875;25924.73046875
GOIÁS;SANTA RITA DO NOVO DESTINO;3576;29350.61328125;8207.66992188
PARAÍBA;CABEDELO;51865;2332828.25;44978.8515625
PERNAMBUCO;CABROBÓ;30432;188859.3125;6205.95019531
ALAGOAS;DOIS RIACHOS;11200;35078.25390625;3131.98999023
MATO GROSSO DO SUL;CORUMBÁ;99467;2715506.75;27300.58007812
MINAS GERAIS;SANTA MARIA DO SUAÇUÍ;14931;71374.390625;4780.27978516
MATO GROSSO;TAPURAH;11517;321427.21875;27908.93945312
PARÁ;BRAGANÇA;107060;382807.5625;3575.63989258
RIO DE JANEIRO;TRÊS RIOS;76075;1304643.375;17149.43945312
ALAGOAS;BELÉM;5083;19550.015625;3846.15991211
CEARÁ;ABAIARA;11077;33615.54296875;3034.7199707
BAHIA;ITAQUARA;7743;33105.69921875;4275.56982422
MARANHÃO;SANTA LUZIA;71455;243949.921875;3414.04003906
PARAÍBA;PATOS;100732;615180.875;6107.10009766
SÃO PAULO;SÃO LUÍS DO PARAITINGA;10908;82827.171875;7593.25
SANTA CATARINA;CORDILHEIRA ALTA;3531;128883.09375;36500.44921875
MINAS GERAIS;CATAS ALTAS DA NORUEGA;3573;14633.55566406;4095.59008789
ACRE;MARECHAL THAUMATURGO;14275;109181.8671875;7648.47021484
PARAÍBA;RIACHÃO DO BACAMARTE;4319;17855.66796875;4134.20996094
MARANHÃO;SENADOR ALEXANDRE COSTA;9414;31518.8046875;3348.08007812
MARANHÃO;SÃO RAIMUNDO DO DOCA BEZERRA;4372;19792.5078125;4527.10986328
PARANÁ;DIAMANTE DO NORTE;5668;39603.3515625;6987.18017578
PARÁ;BREU BRANCO;52200;282525.6875;5412.37011719
PERNAMBUCO;ANGELIM;10385;41266.19140625;3973.62988281
RIO GRANDE DO SUL;ARVOREZINHA;10548;120895.8828125;11461.5
MARANHÃO;PRESIDENTE MÉDICI;6363;26121.25585938;4105.18017578
RIO GRANDE DO SUL;PALMEIRA DAS MISSÕES;34225;597852.75;17468.30078125
SÃO PAULO;DIVINOLÂNDIA;11343;158577.421875;13980.20019531
BAHIA;CANSANÇÃO;34093;112228.7734375;3291.84008789
SERGIPE;TOMAR DO GERU;13717;62506.4609375;4556.85986328
PARANÁ;SANTA LÚCIA;3743;34974.37109375;9343.94042969
RIO GRANDE DO NORTE;RAFAEL GODEIRO;3251;14798.20410156;4551.89013672
CEARÁ;NOVO ORIENTE;28703;93621.4453125;3261.72998047
PARAÍBA;ALCANTIL;5232;22410.37304688;4283.33007812
SANTA CATARINA;MELEIRO;7063;158156.390625;22392.24023438
MATO GROSSO;SAPEZAL;15735;1418892.125;90174.2734375
MINAS GERAIS;POUSO ALTO;6494;80420.0546875;12383.75
PIAUÍ;DOM INOCÊNCIO;10795;25457.23046875;2358.23999023
SERGIPE;SANTANA DO SÃO FRANCISCO;6861;30641.17382812;4465.99023438
MINAS GERAIS;CAMPANHA;15949;145911.328125;9148.62011719
MINAS GERAIS;ORIZÂNIA;7078;32101.34765625;4535.37011719
SANTA CATARINA;SÃO JOSÉ DO CERRITO;10624;78940.25;7430.37011719
PIAUÍ;PRATA DO PIAUÍ;3260;10738.21386719;3293.92993164
MARANHÃO;AMARANTE DO MARANHÃO;37388;131346.625;3513.07006836
BAHIA;ITAPARICA;20796;102586.6484375;4933.0
SÃO PAULO;ARARAQUARA;200666;4193535.25;20898.08984375
SERGIPE;INDIAROBA;18126;86033.2578125;4746.39990234
RIO GRANDE DO NORTE;TAIPU;12165;68109.515625;5598.81005859
BAHIA;NOVA REDENÇÃO;9318;28909.56835938;3102.55004883
PARÁ;AVEIRO;20266;54393.734375;2683.98999023
PIAUÍ;ALEGRETE DO PIAUÍ;4595;21006.09179688;4571.50976562
RIO GRANDE DO SUL;MONTE BELO DO SUL;2826;58234.10546875;20606.55078125
PARANÁ;NOVA AURORA;11636;189617.90625;16295.79980469
PERNAMBUCO;SANTA MARIA DO CAMBUCÁ;12942;48165.3125;3721.62988281
SANTA CATARINA;PERITIBA;2977;46664.69921875;15675.08007812
MINAS GERAIS;BRASÓPOLIS;14756;105255.1484375;7133.04003906
PIAUÍ;LAGOA ALEGRE;8210;24826.51953125;3023.93994141
PIAUÍ;CURIMATÁ;10765;40100.8359375;3725.11010742
PARAÍBA;BARRA DE SANTANA;8909;34139.8046875;3832.06005859
MINAS GERAIS;LEME DO PRADO;5145;22865.88476562;4444.29003906
PARAÍBA;ALAGOA NOVA;19799;123786.2734375;6252.14990234
RIO GRANDE DO SUL;SÃO JERÔNIMO;21289;281260.28125;13211.53027344
MINAS GERAIS;RIO VERMELHO;15343;62241.30078125;4056.65991211
SÃO PAULO;ITAPEVI;205881;3638207.25;17671.41015625
BAHIA;IBICUÍ;16464;69475.15625;4219.81982422
PARANÁ;RANCHO ALEGRE;4083;33275.3046875;8149.72021484
RIO GRANDE DO SUL;ERVAL GRANDE;5367;53334.69921875;9937.53027344
MATO GROSSO;PLANALTO DA SERRA;2797;33849.7578125;12102.16992188
BAHIA;SANTA RITA DE CÁSSIA;27528;91663.0;3329.81005859
MINAS GERAIS;IMBÉ DE MINAS;6641;38283.34375;5764.70019531
GOIÁS;NOVO GAMA;88835;352584.96875;3968.98999023
PIAUÍ;PASSAGEM FRANCA DO PIAUÍ;4246;14411.97558594;3394.25
RIO GRANDE DO SUL;CHUÍ;5496;140923.671875;25641.13085938
CEARÁ;IBARETAMA;13206;42010.30078125;3181.14990234
SÃO PAULO;BASTOS;21380;322317.3125;15075.65039062
SÃO PAULO;TRÊS FRONTEIRAS;5163;49727.08984375;9631.4296875
GOIÁS;BRITÂNIA;5190;48315.8125;9309.41015625
MINAS GERAIS;DOURADOQUARA;1924;23141.8359375;12027.98046875
PARANÁ;PIRAÍ DO SUL;24374;293748.59375;12051.71972656
SÃO PAULO;AMÉRICO BRASILIENSE;33255;578886.875;17407.50976562
BAHIA;NORDESTINA;12670;35456.31640625;2798.44995117
PARANÁ;SÃO MANOEL DO PARANÁ;2170;18855.14453125;8689.00976562
SANTA CATARINA;SANTA CECÍLIA;15928;201708.875;12663.79003906
PARAÍBA;SERRA GRANDE;3147;12504.2421875;3973.37988281
PIAUÍ;ALAGOINHA DO PIAUÍ;7736;27277.73046875;3526.08007812
SANTA CATARINA;SÃO JOÃO DO SUL;7174;84870.84375;11830.33984375
MATO GROSSO DO SUL;ANASTÁCIO;23047;202939.390625;8805.45996094
RIO GRANDE DO NORTE;PEDRA PRETA;2718;12639.96777344;4650.47021484
MARANHÃO;ALTO ALEGRE DO MARANHÃO;22914;70238.390625;3065.30004883
SERGIPE;POÇO REDONDO;30249;138586.828125;4581.52978516
SÃO PAULO;SERTÃOZINHO;110999;4155643.5;37438.5703125
PARAÍBA;RIACHO DE SANTO ANTÔNIO;1588;9611.00976562;6052.27001953
PARAÍBA;SÃO JOSÉ DA LAGOA TAPADA;8067;29955.484375;3713.34008789
BAHIA;CORONEL JOÃO SÁ;18408;76828.921875;4173.66992188
RIO GRANDE DO SUL;SARANDI;21828;389289.53125;17834.41015625
MARANHÃO;GOVERNADOR LUIZ ROCHA;7144;23451.05078125;3282.62011719
MINAS GERAIS;PIRANGUÇU;5319;34538.80859375;6493.47998047
BAHIA;PEDRO ALEXANDRE;17698;58842.01171875;3324.7800293
MARANHÃO;MORROS;17916;48157.7734375;2687.97998047
RIO GRANDE DO SUL;CASCA;8654;201810.28125;23319.88085938
PARANÁ;SÃO MATEUS DO SUL;41188;552378.875;13411.16015625
RIO DE JANEIRO;VARRE-SAI;8852;88212.8359375;9965.29980469
SÃO PAULO;SABINO;5420;71262.4765625;13148.05957031
SÃO PAULO;CARAGUATATUBA;96125;1147377.5;11936.30957031
BAHIA;PRADO;26016;285453.96875;10972.25
SANTA CATARINA;RIO DAS ANTAS;6237;86345.3984375;13844.05957031
PARAÍBA;CRUZ DO ESPÍRITO SANTO;15854;71412.4453125;4504.37988281
RIO GRANDE DO SUL;PROTÁSIO ALVES;2188;30150.00390625;13779.70996094
BAHIA;IAÇU;28602;109799.9453125;3838.88989258
SERGIPE;AREIA BRANCA;16733;86116.2890625;5146.49023438
RONDÔNIA;ITAPUÃ DO OESTE;8235;84785.7265625;10295.78027344
MINAS GERAIS;SÃO JOÃO EVANGELISTA;16254;81616.9921875;5021.35009766
PIAUÍ;COCAL;27220;79448.5;2918.75
PARANÁ;SÃO TOMÉ;5522;89769.359375;16256.6796875
PERNAMBUCO;LAGOA DO OURO;12244;48624.8359375;3971.32006836
RIO GRANDE DO SUL;CACIQUE DOBLE;5008;52123.5;10408.04980469
RIO GRANDE DO SUL;PORTO XAVIER;11131;142891.265625;12837.24023438
MINAS GERAIS;EWBANK DA CÂMARA;3676;19510.05859375;5307.41992188
RORAIMA;PACARAIMA;9220;93442.5703125;10134.76953125
MINAS GERAIS;VIÇOSA;74171;599764.125;8086.22998047
MATO GROSSO DO SUL;SONORA;13334;258011.5625;19349.90039062
RIO GRANDE DO SUL;JARI;3802;88814.828125;23360.02929688
PERNAMBUCO;JOAQUIM NABUCO;16498;96163.34375;5828.79003906
MINAS GERAIS;UBAPORANGA;12561;69659.015625;5545.66015625
PARANÁ;TUPÃSSI;7947;137302.3125;17277.25
SÃO PAULO;SANTO EXPEDITO;2956;27413.52148438;9273.86035156
RIO GRANDE DO SUL;CAIÇARA;5240;60827.06640625;11608.21972656
MARANHÃO;CAPINZAL DO NORTE;10688;44285.91796875;4143.52001953
RIO GRANDE DO NORTE;CAIÇARA DO NORTE;6652;31648.85742188;4757.79980469
SÃO PAULO;PAULO DE FARIA;9463;121381.28125;12826.9296875
PARANÁ;AMPÉRE;18041;193306.609375;10714.84960938
PIAUÍ;PAES LANDIM;4562;14581.94140625;3196.38989258
MINAS GERAIS;CAMPO DO MEIO;11871;83806.1875;7059.74023438
PARANÁ;ANAHY;2926;33611.8046875;11487.29003906
ESPIRITO SANTO;SERRA;404688;11531826.0;28495.59960938
SÃO PAULO;SÃO JOÃO DO PAU D'ALHO;2191;36372.3046875;16600.77929688
SÃO PAULO;PAULICÉIA;5791;73761.8125;12737.3203125
RIO GRANDE DO NORTE;VIÇOSA;1856;8834.24511719;4759.83007812
RIO GRANDE DO NORTE;FERNANDO PEDROZA;2994;12757.65820312;4261.06982422
MINAS GERAIS;ARICANDUVA;5140;23447.10742188;4561.68994141
BAHIA;ARACI;54713;172730.890625;3157.04003906
SÃO PAULO;TREMEMBÉ;41159;393278.46875;9555.09960938
TOCANTINS;BURITI DO TOCANTINS;8454;39691.9453125;4695.04980469
GOIÁS;CEZARINA;7832;145802.765625;18616.2890625
MARANHÃO;VITORINO FREIRE;31144;122207.015625;3923.92993164
RONDÔNIA;ARIQUEMES;85541;1040960.75;12169.13964844
PARAÍBA;SERIDÓ;10091;32620.47851562;3232.62988281
PARANÁ;CASTRO;68071;1097076.75;16116.65039062
ALAGOAS;SANTANA DO MUNDAÚ;12039;52134.53515625;4330.47021484
PARAÍBA;ESPERANÇA;30855;221022.5625;7163.27001953
PARAÍBA;POÇO DE JOSÉ DE MOURA;4118;17580.734375;4269.24023438
GOIÁS;GOUVELÂNDIA;4790;120889.484375;25237.890625
RIO GRANDE DO SUL;IBIRAIARAS;7319;136556.0625;18657.75
ESPIRITO SANTO;PANCAS;18497;123706.6484375;6687.93017578
RIO DE JANEIRO;CARDOSO MOREIRA;12481;203775.765625;16326.87988281
PARANÁ;SÃO PEDRO DO IGUAÇU;6561;84376.4140625;12860.29980469
PARAÍBA;UIRAÚNA;14963;65173.609375;4355.64990234
ALAGOAS;CAMPO ALEGRE;47209;182361.03125;3862.84008789
SANTA CATARINA;MORRO DA FUMAÇA;16128;370818.0;22992.18945312
RIO GRANDE DO SUL;WESTFALIA;2843;67336.796875;23685.11914062
MINAS GERAIS;CATUTI;5473;22031.84960938;4025.55004883
PIAUÍ;COCAL DE TELHA;4689;15476.57128906;3300.61010742
SÃO PAULO;LEME;88995;1338844.125;15044.04003906
SÃO PAULO;NOVA EUROPA;10092;113681.1171875;11264.48046875
MARANHÃO;BEQUIMÃO;21508;64784.91796875;3012.12988281
PARANÁ;QUEDAS DO IGUAÇU;31976;477660.84375;14938.11035156
PARAÍBA;MATURÉIA;6029;24164.58789062;4008.06005859
ALAGOAS;PASSO DE CAMARAGIBE;14261;59784.6875;4192.18017578
SÃO PAULO;SÃO JOÃO DAS DUAS PONTES;2630;31190.76757812;11859.61035156
SÃO PAULO;PROMISSÃO;37570;771585.3125;20537.26953125
PERNAMBUCO;SANTA CRUZ;14782;53805.15234375;3639.90991211
SERGIPE;PACATUBA;12870;153896.0;11957.73046875
BAHIA;CORIBE;14895;63455.30859375;4260.18017578
RIO GRANDE DO NORTE;MESSIAS TARGINO;3923;21696.81640625;5530.66992188
ESPIRITO SANTO;ALTO RIO NOVO;6172;47128.93359375;7635.93017578
SÃO PAULO;NOVAIS;3974;37936.8671875;9546.26953125
PIAUÍ;CAMPO GRANDE DO PIAUÍ;5898;20200.31054688;3424.93994141
MINAS GERAIS;INHAPIM;24952;150295.234375;6023.37011719
SANTA CATARINA;ERMO;1857;40582.9296875;21854.02929688
BAHIA;ARAÇAS;12209;97321.03125;7971.25
BAHIA;CONCEIÇÃO DO ALMEIDA;17974;69316.4296875;3856.47998047
GOIÁS;ORIZONA;15201;234588.984375;15432.46972656
CEARÁ;ACARAPE;15627;56133.1015625;3592.06005859
PARAÍBA;PILÕEZINHOS;5470;21413.59960938;3914.72998047
MINAS GERAIS;SERRA AZUL DE MINAS;4479;17296.31054688;3861.64990234
MINAS GERAIS;PASSA-VINTE;2132;12662.79980469;5939.39990234
PERNAMBUCO;PETROLINA;281851;2283346.25;8101.25
MINAS GERAIS;JURUAIA;8684;72658.75;8366.96972656
BAHIA;BAIANÓPOLIS;14195;60239.99609375;4243.75
MATO GROSSO;GAÚCHA DO NORTE;6195;132122.640625;21327.30078125
MINAS GERAIS;ARAÚJOS;7692;61315.7109375;7971.35986328
SÃO PAULO;SANTO ANASTÁCIO;21222;225050.078125;10604.5703125
RIO GRANDE DO NORTE;RIACHO DA CRUZ;3165;13750.82910156;4344.64990234
PARANÁ;PEABIRU;13347;130212.734375;9755.95996094
SÃO PAULO;GUZOLÂNDIA;4917;45986.609375;9352.5703125
PIAUÍ;REGENERAÇÃO;18190;60257.28125;3312.65991211
MARANHÃO;SÃO JOSÉ DOS BASÍLIOS;7489;27508.0546875;3673.12988281
RIO DE JANEIRO;QUEIMADOS;139378;1224457.75;8785.16015625
TOCANTINS;SUCUPIRA;1741;29328.91796875;16846.01953125
BAHIA;CRUZ DAS ALMAS;57098;387271.40625;6782.56982422
MINAS GERAIS;SÃO SEBASTIÃO DO OESTE;5689;141371.28125;24849.9296875
TOCANTINS;NOVO JARDIM;2525;21134.14648438;8369.95996094
PARAÍBA;ALHANDRA;18941;233951.8125;12351.61035156
RIO GRANDE DO SUL;ALECRIM;7259;68632.7734375;9454.84960938
PIAUÍ;RIACHO FRIO;5093;16725.6796875;3284.05004883
PARÁ;MARABÁ;203049;3058909.0;15064.87988281
TOCANTINS;ANGICO;3300;19860.26953125;6018.25976562
TOCANTINS;PALMEIRÓPOLIS;8492;63415.48046875;7467.66992188
MINAS GERAIS;SANTOS DUMONT;47244;563264.25;11922.45019531
BAHIA;FEIRA DE SANTANA;591707;6358135.5;10745.41015625
SÃO PAULO;PEREIRAS;8076;143394.953125;17755.68945312
SANTA CATARINA;RIO DO SUL;59962;1234667.5;20590.83007812
RIO GRANDE DO SUL;ANTA GORDA;6326;92337.53125;14596.50976562
TOCANTINS;SANTA FÉ DO ARAGUAIA;5795;59609.5390625;10286.37011719
BAHIA;JABORANDI;8895;161163.734375;18118.4609375
MINAS GERAIS;CONGONHAL;10261;89204.5078125;8693.54980469
PARÁ;PORTEL;48945;166577.46875;3403.36010742
MINAS GERAIS;SILVEIRÂNIA;2193;14646.60546875;6678.79980469
RIO GRANDE DO SUL;CAMPO BOM;59366;1244125.625;20956.86914062
MINAS GERAIS;SÃO ROMÃO;9713;52772.86328125;5433.22021484
MINAS GERAIS;SÃO JOÃO DAS MISSÕES;11267;35754.640625;3173.38989258
PARÁ;BREVES;101094;300338.15625;2970.87988281
PARANÁ;CERRO AZUL;18660;182354.265625;9772.46972656
GOIÁS;PETROLINA DE GOIÁS;10061;71342.0625;7090.95019531
RIO GRANDE DO SUL;CORONEL BICACO;7971;115668.953125;14511.21972656
PARANÁ;PINHÃO;30295;474849.625;15674.19042969
PERNAMBUCO;BEZERROS;58354;285545.96875;4893.33984375
TOCANTINS;FORMOSO DO ARAGUAIA;18719;251944.96875;13459.3203125
SÃO PAULO;PIRAJU;29398;347479.03125;11819.8203125
GOIÁS;SANTO ANTÔNIO DA BARRA;4295;71073.3515625;16547.9296875
SANTA CATARINA;TRÊS BARRAS;18708;377119.4375;20158.18945312
RIO GRANDE DO SUL;SÃO FRANCISCO DE ASSIS;19799;209910.53125;10602.08007812
RORAIMA;MUCAJAÍ;13188;146580.046875;11114.65039062
SERGIPE;MARUIM;15582;157533.96875;10110.0
MINAS GERAIS;LIMA DUARTE;16494;117942.3671875;7150.62011719
MINAS GERAIS;COMERCINHO;8637;40922.234375;4738.02001953
SANTA CATARINA;CUNHA PORÃ;11079;231428.96875;20888.98046875
PIAUÍ;PAQUETÁ;4686;15219.06542969;3247.77001953
AMAZONAS;NOVA OLINDA DO NORTE;31012;108783.34375;3507.7800293
SANTA CATARINA;ITAPOÁ;11489;136989.625;11923.54980469
RIO DE JANEIRO;SÃO SEBASTIÃO DO ALTO;9052;83303.6875;9202.79003906
BAHIA;SANTALUZ;35416;129238.140625;3649.14990234
ESPIRITO SANTO;VARGEM ALTA;18637;174520.09375;9364.16992188
MINAS GERAIS;CORDISLÂNDIA;3743;34203.63671875;9138.03027344
MINAS GERAIS;SANTA HELENA DE MINAS;6126;24735.28125;4037.75
MINAS GERAIS;LEOPOLDINA;51545;510692.75;9907.70996094
MINAS GERAIS;MACHADO;39509;624136.0;15797.30957031
PIAUÍ;LAGOINHA DO PIAUÍ;2676;9008.67675781;3366.4699707
RIO GRANDE DO NORTE;TENENTE LAURENTINO CRUZ;5369;25890.28125;4822.18017578
MATO GROSSO;SÃO PEDRO DA CIPA;4241;27307.92578125;6439.02978516
BAHIA;ALAGOINHAS;137810;1298216.375;9420.33984375
SANTA CATARINA;OURO VERDE;2179;63212.0859375;29009.6796875
TOCANTINS;PARANÃ;10824;63521.6015625;5868.58984375
RIO GRANDE DO NORTE;SÃO JOSÉ DE MIPIBU;38404;224160.21875;5836.89990234
SÃO PAULO;CUNHA;23735;127499.703125;5371.79980469
MINAS GERAIS;COROACI;11131;55665.796875;5000.97021484
MINAS GERAIS;RUBIM;9855;50577.96484375;5132.20996094
MINAS GERAIS;PATROCÍNIO DO MURIAÉ;5613;30995.88867188;5522.16015625
MINAS GERAIS;CONCEIÇÃO DO PARÁ;4866;114920.3671875;23617.00976562
PARAÍBA;SANTO ANDRÉ;2707;11492.10351562;4245.33007812
MINAS GERAIS;CAPITÃO ENÉAS;14830;170824.125;11518.8203125
SÃO PAULO;VALINHOS;107481;3042457.0;28306.9296875
MINAS GERAIS;NOVA SERRANA;67967;619228.5625;9110.71972656
SÃO PAULO;FLORÍNIA;2856;97524.5234375;34147.23828125
MINAS GERAIS;PEDRO LEOPOLDO;59064;865962.75;14661.4296875
BAHIA;ITIRUÇU;16827;68143.1640625;4049.62988281
PARANÁ;NOVO ITACOLOMI;2808;23699.01367188;8439.8203125
AMAZONAS;MANAUS;1738641;40486108.0;23286.06054688
PARAÍBA;TENÓRIO;2921;12547.22851562;4295.52978516
MINAS GERAIS;RIO ESPERA;6728;28883.20703125;4292.99023438
ACRE;SENADOR GUIOMARD;19697;217153.859375;11024.71972656
GOIÁS;JUSSARA;19130;188344.21875;9845.49023438
MINAS GERAIS;GUARANI;10049;78912.1640625;7852.74023438
SÃO PAULO;FERNANDÓPOLIS;63539;978006.125;15392.21972656
SÃO PAULO;RIOLÂNDIA;10542;100229.5703125;9507.63964844
PIAUÍ;SÃO GONÇALO DO GURGUÉIA;2544;10072.890625;3959.4699707
TOCANTINS;CRIXÁS DO TOCANTINS;1289;20361.1640625;15796.08984375
PIAUÍ;JARDIM DO MULATO;4318;14268.64648438;3304.45996094
MARANHÃO;GODOFREDO VIANA;11207;31905.390625;2846.91992188
MINAS GERAIS;AGUANIL;4315;29883.59179688;6925.50976562
MINAS GERAIS;RIBEIRÃO DAS NEVES;349307;1712842.5;4903.54003906
RIO GRANDE DO NORTE;RUY BARBOSA;3730;17067.80664062;4575.81982422
BAHIA;MULUNGU DO MORRO;13879;39825.95703125;2869.51000977
RIO GRANDE DO SUL;AJURICABA;7374;129304.8671875;17535.24023438
ALAGOAS;MARECHAL DEODORO;47623;620477.5;13028.95019531
PIAUÍ;ACAUÃ;7354;22335.9765625;3037.26000977
MINAS GERAIS;ITUTINGA;4165;55648.8046875;13361.05957031
PERNAMBUCO;LIMOEIRO;57243;269157.125;4702.00976562
CEARÁ;ARATUBA;12478;50276.91796875;4029.23999023
RIO GRANDE DO SUL;BOA VISTA DAS MISSÕES;2100;54992.50390625;26186.91015625
CEARÁ;PINDORETAMA;18322;76975.75;4201.27001953
MINAS GERAIS;SABARÁ;126195;1005070.625;7964.43017578
PARANÁ;RIO BRANCO DO SUL;33142;550602.9375;16613.44921875
BAHIA;CABACEIRAS DO PARAGUAÇU;18569;58247.78515625;3136.83007812
MINAS GERAIS;SÃO GERALDO DO BAIXIO;3461;21757.00390625;6286.33007812
SANTA CATARINA;JARDINÓPOLIS;1881;23165.56445312;12315.55957031
MINAS GERAIS;LAGOA SANTA;48213;672530.5;13949.15039062
MINAS GERAIS;SENADOR CORTES;2082;14030.48046875;6738.93994141
MINAS GERAIS;NEPOMUCENO;25152;233659.203125;9289.88964844
MATO GROSSO;COCALINHO;6103;93218.71875;15274.24023438
PIAUÍ;SEBASTIÃO BARROS;4270;17421.07421875;4079.87988281
BAHIA;TANQUE NOVO;16466;70092.859375;4256.81982422
MINAS GERAIS;BRÁS PIRES;4615;20628.4296875;4469.87011719
MINAS GERAIS;MONTE AZUL;22838;94946.1875;4157.37988281
SÃO PAULO;MAUÁ;417458;6574846.5;15749.71972656
BAHIA;PLANALTINO;8880;31850.30078125;3586.75
MINAS GERAIS;TUPACIGUARA;23841;294354.84375;12346.58007812
MATO GROSSO DO SUL;ALCINÓPOLIS;4515;92977.2265625;20592.9609375
BAHIA;SERRINHA;73859;393287.0625;5324.83984375
SANTA CATARINA;ABDON BATISTA;2805;35731.484375;12738.5
MARANHÃO;CARUTAPERA;21121;67091.46875;3176.5300293
RIO DE JANEIRO;CANTAGALO;20540;622857.5;30324.11914062
CEARÁ;BOA VIAGEM;56236;195497.71875;3476.37988281
MINAS GERAIS;SACRAMENTO;23112;527058.9375;22804.56054688
BAHIA;IPIAÚ;43723;271794.59375;6216.27978516
SANTA CATARINA;BOM JARDIM DA SERRA;4383;47566.6953125;10852.54003906
