data,hora,taxa
2024/07/13,21:56:27,10.478582257138768
2024/07/13,21:56:28,9.998140828733616
2024/07/13,21:56:29,10.004265113546085
2024/07/13,21:56:30,10.296131441274353
2024/07/13,21:56:31,10.716400488943226
2024/07/13,21:56:32,10.447561173739743
2024/07/13,21:56:33,10.025601009498752
2024/07/13,21:56:34,10.865058529800873
2024/07/13,21:56:35,10.163599908303903
2024/07/13,21:56:36,10.38835575544339
2024/07/13,21:57:53,10.025128829298007
2024/07/13,21:57:54,10.566867572952807
2024/07/13,21:57:55,10.148748376485985
2024/07/13,21:57:56,10.834364641986769
2024/07/13,21:57:57,10.603484990578455
2024/07/13,21:57:58,10.174835430325617
2024/07/13,21:57:59,10.287992691961211
2024/07/13,21:58:00,10.590040699716607
2024/07/13,21:58:01,10.710674711370853
2024/07/13,21:58:02,10.369382812179996
